,,,,VAR ETAT SYSTEME,,,VAR STATS,
HS,TYPE EVT TRAITE, ECHEANCIER, ETAT GUICHET(0=LIBRE/1=OCCUPE),NB CLIENT DANS LA QUEUE,QUEUE,NB CLIENTS RECUS, ATTENTE GLOBALE AVANT SERVICE
313.39978,ArrCl,AccFA 313.39978 : serveur0  |   ArrCl 319.07977,0,0,,55,0.0,
313.39978,AccFA,AccSrv 313.39978 : serveur0,0,0,,55,0.0,
313.39978,AccSrv,DepCl 318.55978 : serveur0,1,0,,55,0.0,
318.55978,DepCl,,0,0,,55,0.0,
319.07977,ArrCl,AccFA 319.07977 : serveur0  |   ArrCl 324.75977,0,0,,56,0.0,
319.07977,AccFA,AccSrv 319.07977 : serveur0,0,0,,56,0.0,
319.07977,AccSrv,DepCl 324.23978 : serveur0,1,0,,56,0.0,
324.23978,DepCl,,0,0,,56,0.0,
324.75977,ArrCl,AccFA 324.75977 : serveur0  |   ArrCl 330.43976,0,0,,57,0.0,
324.75977,AccFA,AccSrv 324.75977 : serveur0,0,0,,57,0.0,
324.75977,AccSrv,DepCl 329.91977 : serveur0,1,0,,57,0.0,
329.91977,DepCl,,0,0,,57,0.0,
330.43976,ArrCl,AccFA 330.43976 : serveur0  |   ArrCl 336.11975,0,0,,58,0.0,
330.43976,AccFA,AccSrv 330.43976 : serveur0,0,0,,58,0.0,
330.43976,AccSrv,DepCl 335.59976 : serveur0,1,0,,58,0.0,
335.59976,DepCl,,0,0,,58,0.0,
336.11975,ArrCl,AccFA 336.11975 : serveur0  |   ArrCl 341.79974,0,0,,59,0.0,
336.11975,AccFA,AccSrv 336.11975 : serveur0,0,0,,59,0.0,
336.11975,AccSrv,DepCl 341.27975 : serveur0,1,0,,59,0.0,
341.27975,DepCl,,0,0,,59,0.0,
341.79974,ArrCl,AccFA 341.79974 : serveur0  |   ArrCl 347.47974,0,0,,60,0.0,
341.79974,AccFA,AccSrv 341.79974 : serveur0,0,0,,60,0.0,
341.79974,AccSrv,DepCl 346.95975 : serveur0,1,0,,60,0.0,
346.95975,DepCl,,0,0,,60,0.0,
347.47974,ArrCl,AccFA 347.47974 : serveur0  |   ArrCl 353.15973,0,0,,61,0.0,
347.47974,AccFA,AccSrv 347.47974 : serveur0,0,0,,61,0.0,
347.47974,AccSrv,DepCl 352.63974 : serveur0,1,0,,61,0.0,
352.63974,DepCl,,0,0,,61,0.0,
353.15973,ArrCl,AccFA 353.15973 : serveur0  |   ArrCl 358.83972,0,0,,62,0.0,
353.15973,AccFA,AccSrv 353.15973 : serveur0,0,0,,62,0.0,
353.15973,AccSrv,DepCl 358.31973 : serveur0,1,0,,62,0.0,
358.31973,DepCl,,0,0,,62,0.0,
358.83972,ArrCl,AccFA 358.83972 : serveur0  |   ArrCl 364.5197,0,0,,63,0.0,
358.83972,AccFA,AccSrv 358.83972 : serveur0,0,0,,63,0.0,
358.83972,AccSrv,DepCl 363.99973 : serveur0,1,0,,63,0.0,
363.99973,DepCl,,0,0,,63,0.0,
364.5197,ArrCl,AccFA 364.5197 : serveur0  |   ArrCl 370.1997,0,0,,64,0.0,
364.5197,AccFA,AccSrv 364.5197 : serveur0,0,0,,64,0.0,
364.5197,AccSrv,DepCl 369.67972 : serveur0,1,0,,64,0.0,
369.67972,DepCl,,0,0,,64,0.0,
370.1997,ArrCl,AccFA 370.1997 : serveur0  |   ArrCl 375.8797,0,0,,65,0.0,
370.1997,AccFA,AccSrv 370.1997 : serveur0,0,0,,65,0.0,
370.1997,AccSrv,DepCl 375.3597 : serveur0,1,0,,65,0.0,
375.3597,DepCl,,0,0,,65,0.0,
375.8797,ArrCl,AccFA 375.8797 : serveur0  |   ArrCl 381.5597,0,0,,66,0.0,
375.8797,AccFA,AccSrv 375.8797 : serveur0,0,0,,66,0.0,
375.8797,AccSrv,DepCl 381.0397 : serveur0,1,0,,66,0.0,
381.0397,DepCl,,0,0,,66,0.0,
381.5597,ArrCl,AccFA 381.5597 : serveur0  |   ArrCl 387.2397,0,0,,67,0.0,
381.5597,AccFA,AccSrv 381.5597 : serveur0,0,0,,67,0.0,
381.5597,AccSrv,DepCl 386.7197 : serveur0,1,0,,67,0.0,
386.7197,DepCl,,0,0,,67,0.0,
387.2397,ArrCl,AccFA 387.2397 : serveur0  |   ArrCl 392.91968,0,0,,68,0.0,
387.2397,AccFA,AccSrv 387.2397 : serveur0,0,0,,68,0.0,
387.2397,AccSrv,DepCl 392.3997 : serveur0,1,0,,68,0.0,
392.3997,DepCl,,0,0,,68,0.0,
392.91968,ArrCl,AccFA 392.91968 : serveur0  |   ArrCl 398.59967,0,0,,69,0.0,
392.91968,AccFA,AccSrv 392.91968 : serveur0,0,0,,69,0.0,
392.91968,AccSrv,DepCl 398.07968 : serveur0,1,0,,69,0.0,
398.07968,DepCl,,0,0,,69,0.0,
398.59967,ArrCl,AccFA 398.59967 : serveur0  |   ArrCl 404.27966,0,0,,70,0.0,
398.59967,AccFA,AccSrv 398.59967 : serveur0,0,0,,70,0.0,
398.59967,AccSrv,DepCl 403.75967 : serveur0,1,0,,70,0.0,
403.75967,DepCl,,0,0,,70,0.0,
404.27966,ArrCl,AccFA 404.27966 : serveur0  |   ArrCl 409.95966,0,0,,71,0.0,
404.27966,AccFA,AccSrv 404.27966 : serveur0,0,0,,71,0.0,
404.27966,AccSrv,DepCl 409.43967 : serveur0,1,0,,71,0.0,
409.43967,DepCl,,0,0,,71,0.0,
409.95966,ArrCl,AccFA 409.95966 : serveur0  |   ArrCl 415.63965,0,0,,72,0.0,
409.95966,AccFA,AccSrv 409.95966 : serveur0,0,0,,72,0.0,
409.95966,AccSrv,DepCl 415.11966 : serveur0,1,0,,72,0.0,
415.11966,DepCl,,0,0,,72,0.0,
415.63965,ArrCl,AccFA 415.63965 : serveur0  |   ArrCl 421.31964,0,0,,73,0.0,
415.63965,AccFA,AccSrv 415.63965 : serveur0,0,0,,73,0.0,
415.63965,AccSrv,DepCl 420.79965 : serveur0,1,0,,73,0.0,
420.79965,DepCl,,0,0,,73,0.0,
421.31964,ArrCl,AccFA 421.31964 : serveur0  |   ArrCl 426.99963,0,0,,74,0.0,
421.31964,AccFA,AccSrv 421.31964 : serveur0,0,0,,74,0.0,
421.31964,AccSrv,DepCl 426.47964 : serveur0,1,0,,74,0.0,
426.47964,DepCl,,0,0,,74,0.0,
426.99963,ArrCl,AccFA 426.99963 : serveur0  |   ArrCl 432.67963,0,0,,75,0.0,
426.99963,AccFA,AccSrv 426.99963 : serveur0,0,0,,75,0.0,
426.99963,AccSrv,DepCl 432.15964 : serveur0,1,0,,75,0.0,
432.15964,DepCl,,0,0,,75,0.0,
432.67963,ArrCl,AccFA 432.67963 : serveur0  |   ArrCl 438.35962,0,0,,76,0.0,
432.67963,AccFA,AccSrv 432.67963 : serveur0,0,0,,76,0.0,
432.67963,AccSrv,DepCl 437.83963 : serveur0,1,0,,76,0.0,
437.83963,DepCl,,0,0,,76,0.0,
438.35962,ArrCl,AccFA 438.35962 : serveur0  |   ArrCl 444.0396,0,0,,77,0.0,
438.35962,AccFA,AccSrv 438.35962 : serveur0,0,0,,77,0.0,
438.35962,AccSrv,DepCl 443.51962 : serveur0,1,0,,77,0.0,
443.51962,DepCl,,0,0,,77,0.0,
444.0396,ArrCl,AccFA 444.0396 : serveur0  |   ArrCl 449.7196,0,0,,78,0.0,
444.0396,AccFA,AccSrv 444.0396 : serveur0,0,0,,78,0.0,
444.0396,AccSrv,DepCl 449.19962 : serveur0,1,0,,78,0.0,
449.19962,DepCl,,0,0,,78,0.0,
449.7196,ArrCl,AccFA 449.7196 : serveur0  |   ArrCl 455.3996,0,0,,79,0.0,
449.7196,AccFA,AccSrv 449.7196 : serveur0,0,0,,79,0.0,
449.7196,AccSrv,DepCl 454.8796 : serveur0,1,0,,79,0.0,
454.8796,DepCl,,0,0,,79,0.0,
455.3996,ArrCl,AccFA 455.3996 : serveur0  |   ArrCl 461.0796,0,0,,80,0.0,
455.3996,AccFA,AccSrv 455.3996 : serveur0,0,0,,80,0.0,
455.3996,AccSrv,DepCl 460.5596 : serveur0,1,0,,80,0.0,
460.5596,DepCl,,0,0,,80,0.0,
461.0796,ArrCl,AccFA 461.0796 : serveur0  |   ArrCl 466.75958,0,0,,81,0.0,
461.0796,AccFA,AccSrv 461.0796 : serveur0,0,0,,81,0.0,
461.0796,AccSrv,DepCl 466.2396 : serveur0,1,0,,81,0.0,
466.2396,DepCl,,0,0,,81,0.0,
466.75958,ArrCl,AccFA 466.75958 : serveur0  |   ArrCl 472.43958,0,0,,82,0.0,
466.75958,AccFA,AccSrv 466.75958 : serveur0,0,0,,82,0.0,
466.75958,AccSrv,DepCl 471.9196 : serveur0,1,0,,82,0.0,
471.9196,DepCl,,0,0,,82,0.0,
472.43958,ArrCl,AccFA 472.43958 : serveur0  |   ArrCl 478.11957,0,0,,83,0.0,
472.43958,AccFA,AccSrv 472.43958 : serveur0,0,0,,83,0.0,
472.43958,AccSrv,DepCl 477.59958 : serveur0,1,0,,83,0.0,
477.59958,DepCl,,0,0,,83,0.0,
478.11957,ArrCl,AccFA 478.11957 : serveur0  |   ArrCl 483.79956,0,0,,84,0.0,
478.11957,AccFA,AccSrv 478.11957 : serveur0,0,0,,84,0.0,
478.11957,AccSrv,DepCl 483.27957 : serveur0,1,0,,84,0.0,
483.27957,DepCl,,0,0,,84,0.0,
483.79956,ArrCl,AccFA 483.79956 : serveur0  |   ArrCl 489.47955,0,0,,85,0.0,
